Cafe_Name,Cafe_Coordinates,Place_Id,Cafe_Types,Rating,Number_Ratings,Vicinity,Borough_Coordinates,lat,lng
The Rubens at the Palace,"51.49826530000001, -0.1434998",ChIJXX6W2iAFdkgREIjlbrOHCOw,"['cafe', 'bar', 'lodging', 'restaurant', 'point_of_interest', 'food', 'establishment']",4.5,1818,"39 Buckingham Palace Road, London","51.529, -0.1255",51.49826530000001,-0.1434998
Park Room,"51.5098444, -0.155529",ChIJx_BjgDEFdkgRoN3QNXf9dAU,"['cafe', 'restaurant', 'point_of_interest', 'food', 'establishment']",4.5,218,"86-90 Park Lane, London","51.529, -0.1255",51.5098444,-0.155529
BFI IMAX,"51.50487889999999, -0.1136318",ChIJm_mee7cEdkgRM0sbLsHGeWg,"['movie_theater', 'cafe', 'bar', 'point_of_interest', 'food', 'store', 'establishment']",4.6,6419,"Waterloo, 1 Charlie Chaplin Walk South Bank","51.529, -0.1255",51.50487889999999,-0.1136318
The Bermondsey Square Hotel,"51.497719, -0.08131559999999999",ChIJU3VpMEMDdkgRpGZTvZ-x7jI,"['cafe', 'lodging', 'restaurant', 'point_of_interest', 'food', 'store', 'establishment']",4.2,760,"9 Bermondsey Square, London","51.529, -0.1255",51.497719,-0.0813155999999999
The Wolseley,"51.5074427, -0.1409233",ChIJr_4cVy8FdkgRIrNbO93eUFM,"['cafe', 'restaurant', 'point_of_interest', 'food', 'establishment']",4.4,6057,"160 Piccadilly, St. James's, London","51.529, -0.1255",51.5074427,-0.1409233
The Ivy,"51.51286029999999, -0.128045",ChIJVcvKc80EdkgRyV3q0YIzDvc,"['cafe', 'bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",4.4,3508,"1-5 West Street, London","51.529, -0.1255",51.51286029999999,-0.128045
Rich Mix,"51.5243955, -0.07319679999999998",ChIJDT5Fc7ccdkgRTJN0vGqwGNE,"['movie_theater', 'art_gallery', 'cafe', 'point_of_interest', 'food', 'establishment']",4.5,1973,"35-47 Bethnal Green Road, London","51.529, -0.1255",51.5243955,-0.0731967999999999
The Pilgrm Hotel Restaurant and Bar Paddington,"51.51576679999999, -0.1744445",ChIJARBMxLIadkgR-ahswfwrT8w,"['night_club', 'cafe', 'bar', 'lodging', 'point_of_interest', 'food', 'establishment']",4.0,920,"25 London Street, London","51.529, -0.1255",51.51576679999999,-0.1744445
ODEON Tottenham Court Rd,"51.5183526, -0.1324275",ChIJpy-n8ygbdkgRblRTJU1WiXA,"['movie_theater', 'cafe', 'point_of_interest', 'food', 'store', 'establishment']",3.7,1572,"Central Cross, 30 Tottenham Court Road, London","51.529, -0.1255",51.5183526,-0.1324275
L'Escargot Restaurant,"51.5139706, -0.1309972",ChIJv2nJxtIEdkgR5BVDRcOlpog,"['cafe', 'bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",4.4,857,"48 Greek Street, London","51.529, -0.1255",51.5139706,-0.1309972
Wigmore Hall,"51.516608, -0.1481362",ChIJ-dNEa9MadkgRNYqylAShZqU,"['cafe', 'bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",4.8,1260,"36 Wigmore Street, London","51.529, -0.1255",51.516608,-0.1481362
Monmouth Coffee Company,"51.5055334, -0.09140690000000001",ChIJ94DTm1cDdkgRibmgxzXy2EQ,"['cafe', 'point_of_interest', 'food', 'store', 'establishment']",4.5,2088,"2 Park Street, London","51.529, -0.1255",51.5055334,-0.0914069
ODEON Luxe West End,"51.50992159999999, -0.1301796",ChIJ8xZFCNIEdkgRh6ulrAY-hOw,"['movie_theater', 'cafe', 'bar', 'point_of_interest', 'food', 'store', 'establishment']",4.6,343,"38a Leicester Square, London","51.529, -0.1255",51.50992159999999,-0.1301796
The British Library,"51.52997169999999, -0.1276759",ChIJlRMXcDsbdkgRJdsP3nlUkBg,"['library', 'tourist_attraction', 'cafe', 'restaurant', 'point_of_interest', 'food', 'store', 'establishment']",4.5,2638,"96 Euston Road, London","51.529, -0.1255",51.52997169999999,-0.1276759
Foyles,"51.51430149999999, -0.1299049",ChIJ5574rdIEdkgRA9294QpXDhw,"['book_store', 'cafe', 'electronics_store', 'home_goods_store', 'point_of_interest', 'food', 'store', 'establishment']",4.7,11013,"107 Charing Cross Road, London","51.529, -0.1255",51.51430149999999,-0.1299049
Curzon Soho,"51.5127004, -0.1305849",ChIJR_tP9tIEdkgR50LK64QCsck,"['movie_theater', 'cafe', 'bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",4.5,1586,"99 Shaftesbury Avenue, London","51.529, -0.1255",51.5127004,-0.1305849
The Table Café,"51.5054844, -0.0998167",ChIJbc-9tKgEdkgR2qNGtGhKWLc,"['cafe', 'restaurant', 'point_of_interest', 'food', 'establishment']",4.3,1982,"83 Southwark Street, London","51.529, -0.1255",51.5054844,-0.0998167
Swan London,"51.5082418, -0.09652360000000001",ChIJ70dbCqkEdkgR_2rXCHnP0aQ,"['restaurant', 'cafe', 'bar', 'point_of_interest', 'food', 'establishment']",4.3,3040,"21 New Globe Walk, Bankside, London","51.529, -0.1255",51.5082418,-0.0965236
The Tram Stop,"51.38025599999999, -0.0733924",ChIJe6d449wAdkgRZPwin12YzPU,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.3,320,"231 Lower Addiscombe Road, Croydon","51.3714, -0.0977",51.38025599999999,-0.0733924
bp,"51.3788072, -0.1109563",ChIJgdGJVyMHdkgRHKzCOp_0wGU,"['gas_station', 'atm', 'car_wash', 'convenience_store', 'cafe', 'finance', 'store', 'food', 'point_of_interest', 'establishment']",2.6,54,"3 Mitcham Road, Croydon","51.3714, -0.0977",51.3788072,-0.1109563
Pavilion @ BedZED,"51.3831545, -0.1565439",ChIJNS_vQ7EHdkgRFyK2VdPwcBQ,"['cafe', 'food', 'point_of_interest', 'establishment']",4.0,51,"24A Sandmartin Way, Hackbridge, Wallington","51.3714, -0.0977",51.3831545,-0.1565439
Cafe Del Mar,"51.35851369999999, -0.1452875",ChIJ-WvL5pwHdkgRqqF2HK8LUXY,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.7,72,"48 Stafford Road, Wallington","51.3714, -0.0977",51.35851369999999,-0.1452875
Waddon Cafe,"51.36465010000001, -0.1179416",ChIJq-fOaGoHdkgRvkMkjIfTPHo,"['cafe', 'food', 'point_of_interest', 'establishment']",4.3,90,"445 Purley Way, Croydon","51.3714, -0.0977",51.36465010000001,-0.1179416
Today's Cafe,"51.3538806, -0.09754410000000001",ChIJ21zcuFMHdkgRh-QbHbjKxs8,"['cafe', 'food', 'point_of_interest', 'establishment']",4.7,348,"267 Brighton Road, South Croydon","51.3714, -0.0977",51.3538806,-0.0975441
Al Amora Lounge,"51.385601, -0.09990729999999999",ChIJq3cuZSkHdkgRR-RY_6fw3ow,"['cafe', 'food', 'point_of_interest', 'establishment']",4.4,165,"78 Windmill Road, Croydon","51.3714, -0.0977",51.385601,-0.0999072999999999
Yeha Noha Cafe Bar,"51.397839, -0.07568289999999998",ChIJT5vUeiMBdkgRZ9f-RcPCAbc,"['restaurant', 'cafe', 'food', 'point_of_interest', 'establishment']",4.6,206,"Yeha Noha Cafe, 19-21 Station Road, London","51.3714, -0.0977",51.397839,-0.0756828999999999
English & Continental,"51.37550960000001, -0.0993801",ChIJh_Hx1TMHdkgRD1iVBwvtUOQ,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.2,56,"1074, Whitgift Centre, 21 North End, Croydon","51.3714, -0.0977",51.37550960000001,-0.0993801
Pure Foods,"51.38683090000001, -0.1344001",ChIJM97UeAEHdkgRjDWhyplj3Mo,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",5.0,2,"4 Coomber Way, Croydon","51.3714, -0.0977",51.38683090000001,-0.1344001
Mayday Cafe,"51.3855279, -0.1100945",ChIJPUgZ0CYHdkgRJa6AJdqGXSM,"['cafe', 'food', 'point_of_interest', 'establishment']",4.3,75,"355 London Road, Croydon","51.3714, -0.0977",51.3855279,-0.1100945
Classic Cafe Croydon,"51.37614199999999, -0.1026035",ChIJ2TGVnjEHdkgRIAhxj6LcQKA,"['cafe', 'food', 'point_of_interest', 'establishment']",3.3,108,"1019, Whitgift Centre, 21 North End, Croydon","51.3714, -0.0977",51.37614199999999,-0.1026035
Massarella Catering Co,"51.3744896, -0.1170561",ChIJNQzkGBYHdkgRQer4GIung1E,"['cafe', 'food', 'point_of_interest', 'establishment']",4.0,3,"1 Drury Crescent, Croydon","51.3714, -0.0977",51.3744896,-0.1170561
Crushed Bean,"51.37113649999999, -0.1001019",ChIJrzNRjjYHdkgR-MHNcB5Tww4,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",4.8,305,"81 High Street, Croydon","51.3714, -0.0977",51.37113649999999,-0.1001019
The Ludoquist - Board Game Cafe Bar,"51.3715824, -0.1003029",ChIJ6Se2ljYHdkgRLtO-G6KxKJ4,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",4.8,1254,"63-67 High Street, Croydon","51.3714, -0.0977",51.3715824,-0.1003029
Caffè Nero,"51.37387829999999, -0.09842200000000001",ChIJ9S-z7zMHdkgRTmJQjgzJJBo,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",4.2,456,"44 George Street, Croydon","51.3714, -0.0977",51.37387829999999,-0.098422
Costa Coffee,"51.374394, -0.101177",ChIJDT-3PTEHdkgRKE5gsi5UCUM,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",4.3,174,"Ground Floor, 11, Bath & Body Works, 19 North End, Croydon","51.3714, -0.0977",51.374394,-0.101177
Caffè Nero,"51.37465539999999, -0.0944922",ChIJYXTMODMHdkgRh4O8AAYyv-Q,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",4.1,498,"93 George Street, East, Croydon","51.3714, -0.0977",51.37465539999999,-0.0944922
Bao Bao Taiwanese Street Food,"51.375038, -0.09413819999999999",ChIJTRLMMDMHdkgRqePhdxMY-E4,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.7,646,"Unit 44-45, Boxpark, 99 George Street, Croydon","51.3714, -0.0977",51.375038,-0.0941381999999999
Costa Coffee,"51.375025, -0.093171",ChIJjUnXzcwAdkgRHYG4WUom9Zc,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",3.9,143,"1 Station, Station Approach, Croydon","51.3714, -0.0977",51.375025,-0.093171
Watermans Arts Centre,"51.4856828, -0.298389",ChIJg8sNzcUNdkgR_S-B1tKKYTU,"['movie_theater', 'cafe', 'art_gallery', 'restaurant', 'point_of_interest', 'food', 'establishment']",4.5,626,"40 High Street, Brentford","51.513, -0.3089",51.4856828,-0.298389
The National Archives,"51.4811031, -0.2793934",ChIJYe6r5ngOdkgRf6SVcbMsQ0k,"['book_store', 'cafe', 'travel_agency', 'park', 'storage', 'store', 'point_of_interest', 'food', 'establishment']",4.5,238,"Bessant Drive, Richmond","51.513, -0.3089",51.4811031,-0.2793934
Shell,"51.48344400000001, -0.328037",ChIJR-ldBggNdkgREAGotmsEobM,"['gas_station', 'convenience_store', 'meal_delivery', 'cafe', 'restaurant', 'store', 'point_of_interest', 'food', 'establishment']",3.6,51,"882 Great West Road, Isleworth","51.513, -0.3089",51.48344400000001,-0.328037
Piccola Italia Ealing,"51.51074070000001, -0.3052565",ChIJbcpVz_QNdkgR_lEpKWoNYjo,"['meal_takeaway', 'cafe', 'bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",4.1,561,"21 The Green, London","51.513, -0.3089",51.51074070000001,-0.3052565
Caffè Nero,"51.51271609999999, -0.3071020999999999",ChIJdQPH2ooNdkgRBrfbYIFbHVc,"['cafe', 'store', 'point_of_interest', 'food', 'establishment']",4.3,371,"51 New Broadway, London","51.513, -0.3089",51.51271609999999,-0.3071020999999999
The Original Maids of Honour,"51.48080189999999, -0.2884071",ChIJc6omM9cNdkgRvrMpr224nbk,"['cafe', 'point_of_interest', 'food', 'establishment']",4.3,1013,"288 Kew Road, Richmond","51.513, -0.3089",51.48080189999999,-0.2884071
Caffe Nero,"51.49270509999999, -0.2647684",ChIJrRFJoWwOdkgResXT_6d6W4U,"['cafe', 'store', 'point_of_interest', 'food', 'establishment']",4.2,378,"386 Chiswick High Road, London","51.513, -0.3089",51.49270509999999,-0.2647684
Chiswick House and Gardens Trust,"51.4838077, -0.2586959999999999",ChIJn41YYUIOdkgR7Axs1ca0HZQ,"['park', 'tourist_attraction', 'cafe', 'point_of_interest', 'food', 'establishment']",4.6,938,"Chiswick House, London","51.513, -0.3089",51.4838077,-0.2586959999999999
Bagel & Shake Ealing,"51.513111, -0.3194325000000001",ChIJZ0evRYYNdkgRy-FGu1dUr2U,"['cafe', 'bakery', 'store', 'point_of_interest', 'food', 'establishment']",3.6,266,"46-48 Drayton Green Road, London","51.513, -0.3089",51.513111,-0.3194325000000001
Costa Coffee,"51.50735, -0.34654",ChIJE8vwrl4NdkgRw2tHb1qShmk,"['cafe', 'store', 'point_of_interest', 'food', 'establishment']",3.8,225,"Ealing Hospital, Uxbridge Road, Southall","51.513, -0.3089",51.50735,-0.34654
Costa Coffee,"51.50998, -0.28748",ChIJP-gIz5eqd0gRdUMyi6EZOkA,"['cafe', 'store', 'point_of_interest', 'food', 'establishment']",3.9,229,"437 Uxbridge Road, London","51.513, -0.3089",51.50998,-0.28748
Brentford Fountain Leisure Centre,"51.4908641, -0.2850528000000001",ChIJA_7iA98NdkgR8IfbXecH1vg,"['cafe', 'point_of_interest', 'food', 'establishment']",3.5,1082,"658 Chiswick High Road, Brentford, London","51.513, -0.3089",51.4908641,-0.2850528000000001
Costa Coffee,"51.54279, -0.33946",ChIJl2L7z2cSdkgRo74jxAuXx0A,"['cafe', 'store', 'point_of_interest', 'food', 'establishment']",4.1,742,"Unit 14, Westway Cross Shopping Park, Greenford","51.513, -0.3089",51.54279,-0.33946
Arabella sweet,"51.52649329999999, -0.2662818999999999",ChIJuy7UOO8RdkgRGZimx1sBN6c,"['cafe', 'point_of_interest', 'food', 'establishment']",5.0,1,"Park Royal Business Centre, 9-17 Park Royal Road, London","51.513, -0.3089",51.52649329999999,-0.2662818999999999
Boof Restaurant,"51.512618, -0.307351",ChIJEzcD6IoNdkgR21oZVnC1dYA,"['meal_takeaway', 'meal_delivery', 'cafe', 'bar', 'restaurant', 'store', 'point_of_interest', 'food', 'establishment']",4.1,813,"57 New Broadway, London","51.513, -0.3089",51.512618,-0.307351
Artisan Coffee School,"51.5131139, -0.3066972000000001",ChIJT4ERy4oNdkgRbv3nQazu080,"['cafe', 'point_of_interest', 'food', 'establishment']",4.7,266,"32 New Broadway, London","51.513, -0.3089",51.5131139,-0.3066972000000001
ODEON Luxe Lee Valley,"51.6331468, -0.0372402",ChIJZ9BlTloedkgRMx_MWbh5iB0,"['movie_theater', 'cafe', 'bar', 'store', 'point_of_interest', 'food', 'establishment']",4.3,3691,"Lee Valley, Edmonton, Pickett's Lock Lane, London","51.6538, -0.0799",51.6331468,-0.0372402
bp,"51.67990999999999, -0.04832",ChIJicXfbX8fdkgRCJFKKTbLQCQ,"['gas_station', 'car_wash', 'atm', 'cafe', 'finance', 'point_of_interest', 'food', 'establishment']",2.9,19,"Bullsmoor Lane, Enfield","51.6538, -0.0799",51.67990999999999,-0.04832
Costa Coffee,"51.64781300000001, -0.04783",ChIJ4TT-YAcfdkgRSZJHRXqaLTo,"['cafe', 'store', 'point_of_interest', 'food', 'establishment']",4.0,110,"288 High Street, Enfield","51.6538, -0.0799",51.64781300000001,-0.04783
Krispy Kreme Enfield,"51.65235, -0.05934000000000001",ChIJ9731qRofdkgR_z8our7oTZE,"['cafe', 'bakery', 'restaurant', 'store', 'point_of_interest', 'food', 'establishment']",4.4,2623,"492 Great Cambridge Road, Enfield","51.6538, -0.0799",51.65235,-0.05934
Costa Coffee,"51.651189, -0.083939",ChIJR_cD5S8fdkgR4Mt6aE8CLUQ,"['cafe', 'store', 'point_of_interest', 'food', 'establishment']",4.0,249,26 Palace Gardens Shopping Cen,"51.6538, -0.0799",51.651189,-0.083939
Cafe Venezia,"51.643839, -0.113314",ChIJ1_dsIN8YdkgR7i0lq7VfmuM,"['cafe', 'restaurant', 'store', 'point_of_interest', 'food', 'establishment']",4.6,91,"8 Chaseville Parade, Chaseville Park Road, London","51.6538, -0.0799",51.643839,-0.113314
Occo Cafe,"51.65224389999999, -0.0828451",ChIJOxDYBTAfdkgRTlNkqRq9xYo,"['cafe', 'store', 'point_of_interest', 'food', 'establishment']",4.4,18,"Market Chambers, Church Street, Enfield","51.6538, -0.0799",51.65224389999999,-0.0828451
Creams Cafe Enfield,"51.6522106, -0.07687859999999998",ChIJMWRQVzsfdkgRDuerztcUklE,"['meal_takeaway', 'cafe', 'bakery', 'restaurant', 'store', 'point_of_interest', 'food', 'establishment']",4.0,897,"5-6 Savoy Parade, Enfield","51.6538, -0.0799",51.6522106,-0.0768785999999999
Caffè Nero,"51.6514579, -0.08295250000000001",ChIJRfoTrDofdkgRnKqBmcw6Ybw,"['cafe', 'store', 'point_of_interest', 'food', 'establishment']",3.9,516,"Shopping Centre, palace Exchange, 22 The Town, Enfield","51.6538, -0.0799",51.6514579,-0.0829525
Leo's Coffee Shop,"51.6532102, -0.0908163",ChIJb6coQzIfdkgRAjmXl7WnJLE,"['cafe', 'store', 'point_of_interest', 'food', 'establishment']",4.7,27,"Platform 1, Enfield Chase Railway Station, Windmill Hill, Enfield","51.6538, -0.0799",51.6532102,-0.0908163
Zippola,"51.66408740000001, -0.08183230000000001",ChIJRY1T20cfdkgRQKClloYK7_E,"['cafe', 'store', 'point_of_interest', 'food', 'establishment']",4.5,299,"Zippola, Live to Eat, 93 Lancaster Road, Enfield","51.6538, -0.0799",51.66408740000001,-0.0818323
Starbucks Coffee,"51.6501224, -0.0607296",ChIJuxIO6RofdkgRByQ9t1LxgBo,"['cafe', 'restaurant', 'store', 'point_of_interest', 'food', 'establishment']",3.6,82,"208 Southbury Road, Enfield","51.6538, -0.0799",51.6501224,-0.0607296
Costa Coffee,"51.65448, -0.05898",ChIJcVqXuQ8fdkgRV-o5df5DDWg,"['cafe', 'store', 'point_of_interest', 'food', 'establishment']",4.1,309,"Unit 1, Next Home, Enfield Retail Park, Crown Road, Enfield","51.6538, -0.0799",51.65448,-0.05898
Stantons Coffee House,"51.64181199999999, -0.0699637",ChIJsyI65R8fdkgRDoGwWggqvf4,"['cafe', 'store', 'point_of_interest', 'food', 'establishment']",4.8,93,"7 Queen Anne's Place, Enfield","51.6538, -0.0799",51.64181199999999,-0.0699637
Shell,"51.66362700000001, -0.0568554",ChIJ29DdwHIfdkgRVScJVqNs5Wc,"['gas_station', 'car_wash', 'convenience_store', 'meal_delivery', 'cafe', 'restaurant', 'store', 'point_of_interest', 'food', 'establishment']",4.1,112,"790 Great Cambridge Road, Enfield","51.6538, -0.0799",51.66362700000001,-0.0568554
Caffe Napoli,"51.6377731, -0.0667058",ChIJt98SEeEedkgRQfOBj3qabLE,"['cafe', 'point_of_interest', 'food', 'establishment']",,0,"79 Lynmouth Avenue, Enfield","51.6538, -0.0799",51.6377731,-0.0667058
Costa Coffee,"51.6579, -0.046995",ChIJfQesp6AfdkgRZg45ojvM9xI,"['cafe', 'store', 'point_of_interest', 'food', 'establishment']",4.2,253,"163 Hertford Road, Enfield","51.6538, -0.0799",51.6579,-0.046995
The Larder,"51.6342671, -0.1028123",ChIJkYDn4y4ZdkgRmlpreHUyic0,"['cafe', 'bar', 'restaurant', 'store', 'point_of_interest', 'food', 'establishment']",4.6,94,"26 The Green, London","51.6538, -0.0799",51.6342671,-0.1028123
Coffee Break,"51.63175500000001, -0.09455590000000003",ChIJZXaaSy0ZdkgRD3elCWHFrGA,"['cafe', 'restaurant', 'store', 'point_of_interest', 'food', 'establishment']",4.6,553,"792 Green Lanes, London","51.6538, -0.0799",51.63175500000001,-0.0945559
ODEON Greenwich,"51.49059219999999, 0.0127925",ChIJV9DJkD6o2EcRU7piWt6eKBM,"['movie_theater', 'cafe', 'store', 'food', 'bar', 'point_of_interest', 'establishment']",4.1,4143,"Bugsby's Way, London","51.4892, 0.0648",51.49059219999999,0.0127925
Costa Coffee - Woolwich DLR,"51.490332, 0.0693795",ChIJqaXtVuqo2EcROkrxQemFFVo,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",3.7,507,"1 Woolwich New Road, London","51.4892, 0.0648",51.490332,0.0693795
Costa Coffee,"51.49078, 0.02343",ChIJEfz3s0Co2EcRf16Y1uxXXR4,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",4.2,226,"Unit C, NEXT, 4 Brocklebank Road, London","51.4892, 0.0648",51.49078,0.02343
The Garden Community Cafe,"51.51108729999999, 0.0328802",ChIJqTqfIneo2EcRp5oO3mWw6AQ,"['cafe', 'food', 'point_of_interest', 'establishment']",4.7,114,"7 Cundy Road, London","51.4892, 0.0648",51.51108729999999,0.0328802
Charlton House & Gardens,"51.48059880000001, 0.03717220000000001",ChIJPxw89E6o2EcRZB3M9ThmSow,"['cafe', 'food', 'point_of_interest', 'establishment']",4.5,678,"Charlton Road, London","51.4892, 0.0648",51.48059880000001,0.0371722
East Greenwich Pleasaunce,"51.484675, 0.0137639",ChIJS__ikjqo2EcRbhoIhRk_h04,"['park', 'cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.6,326,"10 Chevening Road, London","51.4892, 0.0648",51.484675,0.0137639
Asda Beckton Superstore,"51.5150406, 0.05756790000000001",ChIJAQsOPNWn2EcR9EUp-qjRM6I,"['supermarket', 'gas_station', 'atm', 'pharmacy', 'cafe', 'clothing_store', 'grocery_or_supermarket', 'finance', 'store', 'food', 'point_of_interest', 'health', 'establishment']",3.6,1005,"Tollgate Road, Beckton","51.4892, 0.0648",51.5150406,0.0575679
Marks and Spencer,"51.4509354, 0.0549693",ChIJi2AeI3Op2EcR4EG1d3UVBxE,"['department_store', 'supermarket', 'convenience_store', 'cafe', 'clothing_store', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",4.2,926,"115 Eltham High Street, London","51.4892, 0.0648",51.4509354,0.0549693
Buenos Aires Cafe,"51.46716559999999, 0.007254000000000001",ChIJD2tuXdGp2EcRTm_RJxck12o,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.4,569,"17 Royal Parade, London","51.4892, 0.0648",51.46716559999999,0.007254
Costa Coffee,"51.467399, 0.007877000000000002",ChIJn4ljDdGp2EcRm1z7Y4fwR6g,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",4.2,279,"41 Tranquil Vale, London","51.4892, 0.0648",51.467399,0.007877
The Coffee Lounge,"51.4904417, 0.0682417",ChIJqXZnT-qo2EcR5CeWmIfw0Iw,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.2,515,"Equitable House, 29 Greens End, London","51.4892, 0.0648",51.4904417,0.0682417
Roz Cafe,"51.50087869999999, 0.06309429999999999",ChIJX05KEZGo2EcR7fJISzZyf8w,"['cafe', 'food', 'point_of_interest', 'establishment']",4.3,82,"1 Pier Road, London","51.4892, 0.0648",51.50087869999999,0.0630942999999999
Moca cafe,"51.476733, 0.0209958",ChIJ7_RQtjWo2EcRSy5ba2Pew88,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.6,239,"10 Old Dover Road, London","51.4892, 0.0648",51.476733,0.0209958
Tesco Cafe,"51.48919209999999, 0.06624929999999998",ChIJrWh-3Ouo2EcRaVbAefjwnY4,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",3.7,56,"Grand Depot Road, London","51.4892, 0.0648",51.48919209999999,0.0662492999999999
First Choice Cafe And Restaurant,"51.49348, 0.06337899999999999",ChIJM_aituyo2EcR2R0zrymLWXI,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.5,461,"51 Hare Street, London","51.4892, 0.0648",51.49348,0.0633789999999999
The Yoga Space London,"51.4946502, 0.06653479999999998",ChIJdcvD68Co2EcRYFV4MBpPQ1o,"['gym', 'cafe', 'store', 'food', 'point_of_interest', 'health', 'establishment']",4.8,63,"Norton House, Duke of Wellington Avenue, London","51.4892, 0.0648",51.4946502,0.0665347999999999
Menagerie Cafe,"51.4920267, 0.07648390000000001",ChIJL37yMseo2EcR3pmopsPd_Zk,"['cafe', 'food', 'point_of_interest', 'establishment']",3.4,11,"Unit 9, The I O Centre, Skeffington Street, London","51.4892, 0.0648",51.4920267,0.0764839
Arts Cafe,"51.4946119, 0.04484590000000001",ChIJW-L9ZmCo2EcRD6uBtukAr3s,"['cafe', 'food', 'point_of_interest', 'establishment']",4.3,70,"Thames-Side Studios Gallery, Harrington Way, Warspite Road, London","51.4892, 0.0648",51.4946119,0.0448459
The Plumstead Pantry SE18,"51.48180379999999, 0.0836855",ChIJycUwatCo2EcRp7YHAKZ7OK4,"['restaurant', 'cafe', 'store', 'food', 'point_of_interest', 'establishment']",4.7,162,"16 Warwick Terrace, London","51.4892, 0.0648",51.48180379999999,0.0836855
The Chef House kitchen,"51.49396369999999, 0.0421675",ChIJr2pAGW-p2EcRadF0WqUVdxU,"['cafe', 'food', 'point_of_interest', 'establishment']",4.7,124,"Westminster Industrial Estate, 19 Bowater Road (unit 76 In, London","51.4892, 0.0648",51.49396369999999,0.0421675
Cafe 1001,"51.52093410000001, -0.0719882",ChIJcwCeFbYcdkgRlPGrpXVrFBo,"['cafe', 'bar', 'point_of_interest', 'food', 'establishment']",4.2,959,"91 Brick Lane, London","51.545, -0.0553",51.52093410000001,-0.0719882
Ottolenghi Islington,"51.5397504, -0.1022929",ChIJYVig82YbdkgRi6zgskkA6TM,"['cafe', 'restaurant', 'point_of_interest', 'food', 'store', 'establishment']",4.4,2116,"287 Upper Street, London","51.545, -0.0553",51.5397504,-0.1022929
Allpress Espresso Bar Shoreditch,"51.52440099999999, -0.07426039999999999",ChIJV_Via7ccdkgRvCItLvUmrNw,"['cafe', 'point_of_interest', 'food', 'store', 'establishment']",4.4,612,"58 Redchurch Street, London","51.545, -0.0553",51.52440099999999,-0.0742603999999999
Wilton's Music Hall,"51.51070129999999, -0.0668967",ChIJbcQbMTQDdkgRGnjfXht0wPA,"['tourist_attraction', 'cafe', 'bar', 'point_of_interest', 'food', 'establishment']",4.8,2093,"1 Graces Alley, London","51.545, -0.0553",51.51070129999999,-0.0668967
Costa Coffee,"51.518699, -0.084719",ChIJn9GcSawcdkgRn37GMHm3zAg,"['cafe', 'point_of_interest', 'food', 'store', 'establishment']",4.1,422,"9 Eldon Street, Broadgate, London","51.545, -0.0553",51.518699,-0.084719
The Zetter Clerkenwell,"51.5230962, -0.1038718",ChIJr6-6s1EbdkgRwChbpZiwqqA,"['cafe', 'lodging', 'bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",4.4,972,"49-50 Saint John's Square, London","51.545, -0.0553",51.5230962,-0.1038718
La Divina Italian Restaurant,"51.5392687, -0.1025622",ChIJS81X-GYbdkgRVxyAEsjWrwg,"['cafe', 'bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",4.5,1011,"134 Upper Street, London","51.545, -0.0553",51.5392687,-0.1025622
Cafe OTO,"51.54694199999999, -0.07477230000000001",ChIJT572jI0cdkgRe6ZCGWDlysg,"['cafe', 'point_of_interest', 'food', 'establishment']",4.6,626,"18-22 Ashwin Street, London","51.545, -0.0553",51.54694199999999,-0.0747723
The Breakfast Club Angel,"51.5350988, -0.103734",ChIJc9cGbF0bdkgRznpH5zlh38E,"['cafe', 'bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",4.2,2312,"31 Camden Passage, London","51.545, -0.0553",51.5350988,-0.103734
